_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2e29f0a5bc6c426c0df4,The Butterfly Effect,2004,113 min,"Drama, Sci-Fi, Thriller",7.6,3.6054422187657753,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",30.0,Eric Bress,"['J. Mackye Gruber', 'Ashton Kutcher', 'Amy Smart', 'Melora Walters']",451479,2022-04-17 15:11:37.772,2022-04-17 15:11:37.772
625c2b6cf0a5bc6c426c06e0,The Prestige,2006,130 min,"Drama, Mystery, Sci-Fi",8.5,0.1261262535588925,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",66.0,Christopher Nolan,"['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson', 'Michael Caine']",1190259,2022-04-17 14:59:56.091,2022-04-17 14:59:56.091
625c2de2f0a5bc6c426c0ce0,Abre los ojos,1997,119 min,"Drama, Mystery, Sci-Fi",7.7,0.497746000126017,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.",,Alejandro Amenábar,"['Eduardo Noriega', 'Penélope Cruz', 'Chete Lera', 'Fele Martínez']",64082,2022-04-17 15:10:26.919,2022-04-17 15:10:26.919
625c2e01f0a5bc6c426c0d5e,Invasion of the Body Snatchers,1956,80 min,"Drama, Horror, Sci-Fi",7.7,3.8750971331683415,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,92.0,Don Siegel,"['Kevin McCarthy', 'Dana Wynter', 'Larry Gates', 'King Donovan']",44839,2022-04-17 15:10:57.130,2022-04-17 15:10:57.130
625c2ccdf0a5bc6c426c0994,Donnie Darko,2001,113 min,"Drama, Mystery, Sci-Fi",8.0,0.9312626851443451,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",88.0,Richard Kelly,"['Jake Gyllenhaal', 'Jena Malone', 'Mary McDonnell', 'Holmes Osborne']",740086,2022-04-17 15:05:49.583,2022-04-17 15:05:49.583
625c2bc3f0a5bc6c426c0754,Eternal Sunshine of the Spotless Mind,2004,108 min,"Drama, Romance, Sci-Fi",8.3,0.00921502275041508,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",89.0,Michel Gondry,"['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson', 'Gerry Robert Byrne']",911664,2022-04-17 15:01:23.822,2022-04-17 15:01:23.822
625c2c04f0a5bc6c426c07f4,Stalker,1979,162 min,"Drama, Sci-Fi",8.2,2.1102227269198,A guide leads two men through an area known as the Zone to find a room that grants wishes.,,Andrei Tarkovsky,"['Alisa Freyndlikh', 'Aleksandr Kaydanovskiy', 'Anatoliy Solonitsyn', 'Nikolay Grinko']",116945,2022-04-17 15:02:28.787,2022-04-17 15:02:28.787
625c2d06f0a5bc6c426c0a50,Arrival,2016,116 min,"Drama, Sci-Fi",7.9,4.181641793661651,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world.,81.0,Denis Villeneuve,"['Amy Adams', 'Jeremy Renner', 'Forest Whitaker', 'Michael Stuhlbarg']",594181,2022-04-17 15:06:46.569,2022-04-17 15:06:46.569
625c2e38f0a5bc6c426c0e50,Close Encounters of the Third Kind,1977,138 min,"Drama, Sci-Fi",7.6,3.8491081058614585,"Roy Neary, an electric lineman, watches how his quiet and ordinary daily life turns upside down after a close encounter with a UFO.",90.0,Steven Spielberg,"['Richard Dreyfuss', 'François Truffaut', 'Teri Garr', 'Melinda Dillon']",184966,2022-04-17 15:11:52.513,2022-04-17 15:11:52.513
625c2c67f0a5bc6c426c08d4,Solaris,1972,167 min,"Drama, Mystery, Sci-Fi",8.1,0.4436238523485625,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,90.0,Andrei Tarkovsky,"['Natalya Bondarchuk', 'Donatas Banionis', 'Jüri Järvet', 'Vladislav Dvorzhetskiy']",81021,2022-04-17 15:04:07.159,2022-04-17 15:04:07.159
625c2d37f0a5bc6c426c0aba,Brazil,1985,132 min,"Drama, Sci-Fi",7.9,2.8509490379893276,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,84.0,Terry Gilliam,"['Jonathan Pryce', 'Kim Greist', 'Robert De Niro', 'Katherine Helmond']",187567,2022-04-17 15:07:35.200,2022-04-17 15:07:35.200
625c2d8df0a5bc6c426c0bb4,Gattaca,1997,106 min,"Drama, Sci-Fi, Thriller",7.8,2.311791246259214,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,64.0,Andrew Niccol,"['Ethan Hawke', 'Uma Thurman', 'Jude Law', 'Gore Vidal']",280845,2022-04-17 15:09:01.127,2022-04-17 15:09:01.127
625c2dd4f0a5bc6c426c0c90,Ex Machina,2014,108 min,"Drama, Sci-Fi, Thriller",7.7,1.7764413311231964,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,78.0,Alex Garland,"['Alicia Vikander', 'Domhnall Gleeson', 'Oscar Isaac', 'Sonoya Mizuno']",474141,2022-04-17 15:10:12.681,2022-04-17 15:10:12.681
625c2c6cf0a5bc6c426c08e6,The Man Who Shot Liberty Valance,1962,123 min,"Drama, Western",8.1,3.631922167237761,A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,94.0,John Ford,"['James Stewart', 'John Wayne', 'Vera Miles', 'Lee Marvin']",68827,2022-04-17 15:04:12.918,2022-04-17 15:04:12.918
625c2dcbf0a5bc6c426c0c6a,Gravity,2013,91 min,"Drama, Sci-Fi, Thriller",7.7,3.7862962570043326,Two astronauts work together to survive after an accident leaves them stranded in space.,96.0,Alfonso Cuarón,"['Sandra Bullock', 'George Clooney', 'Ed Harris', 'Orto Ignatiussen']",769145,2022-04-17 15:10:03.267,2022-04-17 15:10:03.267
625c2db5f0a5bc6c426c0c30,Bride of Frankenstein,1935,75 min,"Drama, Horror, Sci-Fi",7.8,2.742565985917534,"Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate.",95.0,James Whale,"['Boris Karloff', 'Elsa Lanchester', 'Colin Clive', 'Valerie Hobson']",43542,2022-04-17 15:09:41.340,2022-04-17 15:09:41.340
625c2d12f0a5bc6c426c0a64,Moon,2009,97 min,"Drama, Mystery, Sci-Fi",7.9,4.986237803631121,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.",67.0,Duncan Jones,"['Sam Rockwell', 'Kevin Spacey', 'Dominique McElligott', 'Rosie Shaw']",335152,2022-04-17 15:06:58.631,2022-04-17 15:06:58.631
625c2b59f0a5bc6c426c06ba,One Flew Over the Cuckoo's Nest,1975,133 min,Drama,8.7,3.134088967746539,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",83.0,Milos Forman,"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman', 'Peter Brocco']",918088,2022-04-17 14:59:37.278,2022-04-17 14:59:37.278
625c2cedf0a5bc6c426c0a06,Cat on a Hot Tin Roof,1958,108 min,Drama,8.0,2.822216147247852,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,84.0,Richard Brooks,"['Elizabeth Taylor', 'Paul Newman', 'Burl Ives', 'Jack Carson']",45062,2022-04-17 15:06:21.724,2022-04-17 15:06:21.724
625c2bd8f0a5bc6c426c0794,Metropolis,1927,153 min,"Drama, Sci-Fi",8.3,1.6598608665814463,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",98.0,Fritz Lang,"['Brigitte Helm', 'Alfred Abel', 'Gustav Fröhlich', 'Rudolf Klein-Rogge']",159992,2022-04-17 15:01:44.229,2022-04-17 15:01:44.229
